symbol	ctrl_01	ctrl_02	ctrl_03	ctrl_04	tx_01	tx_02	tx_03	tx_04
Usp8	-0.7910364441610221	1.2861200782079112	0.4230444474536627	1.0593665534099768	-1.4434555805071738	0.6609840514362889	-0.9011794212717057	-0.29384368456785925
Usp50	-0.07379115888092606	0.4505081817433918	-2.1539258041613634	0.6217395378083963	0.21763223261285783	-0.6299866196175056	0.5690183269699439	0.9988053035252052
Trpm7	-0.6616837260850518	1.234605846666979	-1.4469132070810773	-1.0857411013158542	1.0891859324241544	0.7492886268893691	0.13281030109594688	-0.011552672594511999
Sppl2a	-1.5128494575588305	0.21782314061494518	0.9940236914470717	-0.5402409730929435	1.0758509397093552	1.0200184793844234	-1.0739449022282157	-0.180680918275659
Mir3473g	1.439380639053755	-0.2516176205475347	0.3161660007680131	-1.344921958907832	0.9466130890792385	-1.344921958907832	-0.21394453841712996	0.4532463478793215
Ap4e1	-0.8801590625414715	0.37403057184973376	-0.3615420284070505	-1.707861372496082	0.919758352037609	0.7581096439633686	1.2280405709651583	-0.3303766753712435
Blvra	-1.4330363371608854	-0.8468209485667654	0.21642722644532109	1.3240985304570232	1.099981146070263	-0.5746211815409197	0.7650828629766675	-0.5511112986807903
Gm39922	1.6089671705673712	0.5117214276439056	-1.1654810769930117	0.6954368201008903	0.25994818339715586	-1.1265974827405898	0.18387931213511965	-0.9678743541108435
Ncaph	-0.9639183970968535	-0.13130846160392748	-0.4019853196119523	1.2261183902344321	-1.5686108834819132	0.09933335894276393	1.3195226872371177	0.42084862538045537
Gm35347	0.5537746399558992	0.604065578091971	-1.3447313847940636	0.8320497106203123	-0.32074842475576937	-0.5013406472283506	-1.2264406270408859	1.4033711551508858
Itpripl1	0.47692270511613066	-1.2914498354506754	-1.1755783008212952	-0.6334857496042482	0.22718433940098892	0.7843202814629272	-0.01713074577906064	1.629217305675182
1810024B03Rik	0.08767632767630322	1.1230682609724454	0.910823051971341	-0.6099086874829648	-2.0860769270061366	0.16926426669030328	0.019545158101866564	0.3856085490768387
Snrnp200	0.38333061554541054	1.3833654154564383	0.40510620740422	0.025273740880088574	-2.0530532549272116	0.20403921369639202	0.30418171409292705	-0.6522436521481344
Ciao1	-1.4031645261410868	-0.37607389886987547	1.8351943788899425	1.0114534102743513	-0.32887170636750845	0.028230585971862825	-0.16452230399783074	-0.6022459397597192
Tmem127	-0.8100884000130372	-0.49354671519904453	-0.08110062554288315	-0.942237098732232	0.5766672853862557	0.6409562182555506	1.9415925379071002	-0.8322432020617676
Stard7	0.8448899089979548	0.007169713486520962	-0.33611045128257266	2.06904900658248	-0.532989399129304	-0.4371464204245859	-1.0452448659491749	-0.5696174922816812
Gm46762	0.4840658335604127	-1.4046045585810252	0.42256498985501517	-1.5975485952988804	1.2008363751210673	0.46891055040447255	0.6062807412870638	-0.18050533634812252
Dusp2	-1.766715263979649	-0.4818220594444661	0.4924180420396518	0.6735923812511216	-0.41233634139002645	-0.4465041193836945	0.3805474026357947	1.5608199582712678
Astl	0.16951482980699512	0.24018143617528664	-1.80174404813314	-1.0573847306920625	0.4456849080396456	0.1425744373458881	1.4775272703839641	0.38364589707342184
Adra2b	0.8355909454881838	-1.1148292304487417	-1.1148292304487417	1.2771753765467635	-1.1148292304487417	0.10128930023060072	0.18254101809179976	0.9478910509888779
Gpat2	-0.4219038319854887	0.8826462643477545	-1.15571734719439	-1.254002687211279	-0.5386564364100349	1.2243382999450665	1.1549137250983852	0.10838201341000116
Fahd2a	0.4209718434037886	-0.20103159028847367	-0.14930179126523507	-1.8528197702920886	0.012871570798844092	-0.27506147618641624	1.7842832245868543	0.2600879892427264
Kcnip3	-0.7228765515362385	-0.7228765515362385	-0.7228765515362385	1.1035057492606488	1.3483654697171223	1.1625115387034215	-0.7228765515362385	-0.7228765515362385
Zfp661	0.2614872959305794	0.50909556601253525	-0.5735430269477796	-2.1665562779613285	0.8618347703806477	-0.11672013027156514	0.8801241569811499	0.34427764587577736
