symbol	baseMean	log2FoldChange	lfcSE	pvalue	padj
Cdc27	6380.742401842034	-0.030097521858393764	0.026364063530890297	0.16455730289387827	0.46348844541548023
Hdac3	4128.767184537277	-0.03039634049911148	0.02683431913607336	0.16456849477479518	0.46348844541548023
Setx	10220.934313805674	0.032835747939327246	0.031876889972765776	0.16467993476232543	0.463576223861774
Pan3	3529.8072914061827	0.03138369025671084	0.028554799249477684	0.16464820936936028	0.463576223861774
Gm34402	149.2659784437684	0.03200865300744805	0.06389182478406916	0.16473398747018156	0.46361538871359576
Napa	4424.004496803756	0.029352207585072652	0.025305661446599962	0.1649549245256349	0.4639270563139256
Stoml1	571.1373559106488	0.03400500887050654	0.04358760442825324	0.1649862426086738	0.4639270563139256
A830082N09Rik	52.812272374525925	0.029162202532908986	0.07824293455019704	0.1649654107419166	0.4639270563139256
Dennd6b	1086.2864817816298	0.034072619865829906	0.03896297836843194	0.165005398037888	0.4639270563139256
Ptk2b	5459.637506727067	-0.030104052461337367	0.0264291310032177	0.16505565989020396	0.46395543240006226
Dcaf17	1320.946288413558	-0.033812440880814316	0.03632585304256597	0.1654900392090732	0.464562986950352
Cmas	2694.2113234995295	-0.03231651821641398	0.030657013510411658	0.16539968979774905	0.464562986950352
S1pr4	1154.4872335343155	0.03373951697216907	0.03582584125809283	0.16551313344594792	0.464562986950352
Dcakd	677.1436173568782	-0.034067116979181446	0.04017365659558314	0.16536986931504677	0.464562986950352
Mier3	793.9696221097881	0.034037461190965686	0.03891788102569916	0.1653875523364305	0.464562986950352
Txnl4a	1404.0819977310264	-0.03364406377974727	0.03524703296237182	0.16551202392189446	0.464562986950352
Tmem70	2355.0671143087984	-0.03193278859255998	0.029843142034768472	0.16579165897989895	0.464806066609956
Ss18l1	311.8848410264458	0.033233891597741844	0.05164818611936541	0.16586982581407791	0.464806066609956
Rnpc3	1177.669203748306	0.03196178607122905	0.06324130684574163	0.16588548396474412	0.464806066609956
Ehd2	88.84757753763415	0.030918982721579048	0.07018656497400456	0.16582080427723325	0.464806066609956
Polr3e	2451.350448458178	-0.032545835382534076	0.03131277342615547	0.16577379883331164	0.464806066609956
Prkca	5419.668159945742	-0.030116175886461753	0.026544357279524235	0.16592168074743277	0.464806066609956
Gm41553	206.76997424643753	0.026023804432477204	0.08728574315657774	0.16572253566444067	0.464806066609956
Fam122a	429.15116544801936	-0.03364559410836435	0.04730705882096915	0.16586686284596244	0.464806066609956
Hspbp1	3220.877412735523	-0.03090199310645099	0.027860328167223954	0.1660129803168227	0.4649453301469571
Psd	915.9651618953858	0.03400067206859408	0.04114221344880708	0.16605190362391326	0.4649453301469571
Hexdc	302.37060318001716	0.03312678328235332	0.05205379762104996	0.16652356413098776	0.4660400207688172
Cdip1	1520.9539705097172	0.03364879424208957	0.035780092868520984	0.16651787744196872	0.4660400207688172
Vps4b	4043.625290030874	-0.03105455443868466	0.028241771019843997	0.16681790955326684	0.4667506917006376
Leng1	312.50963265382643	0.03321329494838648	0.05069216089077856	0.16701576021436235	0.46691952574285445
Fbxo8	877.872301231876	-0.033864507710127105	0.038299436039757544	0.1670399550103441	0.46691952574285445
Manf	5255.93037337759	-0.030345613291305452	0.027035420675825313	0.16699633382667173	0.46691952574285445
Vasn	150.99853010913372	0.030850496494698208	0.06981450784435562	0.16696004844254048	0.46691952574285445
Ntrk3	28.06680523230989	0.026149073467995432	0.08640725056835963	0.16721181962697304	0.4672868416867986
Lrpap1	1409.8696567965328	-0.03322253307470573	0.03396542974217216	0.16743097372701368	0.46778610221262895
Nmt2	1961.769501766807	0.032876177492352006	0.032699457010998946	0.16752618601857552	0.46782578542421355
Gm36266	99.4764144265286	0.030828564886113935	0.06956581593422335	0.16752080223604254	0.46782578542421355
Stk4	10531.523693596368	-0.02713000358526912	0.022653690989161857	0.167644502740494	0.4680430279556939
Cep170	3141.5987455070936	0.032917112299146935	0.0329054593228206	0.16777488238316812	0.4682938355547588
Nab1	3583.763019458087	-0.03182676271103674	0.03001335523765601	0.16819790913979643	0.46838843241460343
Slc35f5	135.98213158448036	0.03171796784563168	0.06340014498696464	0.1678800198010258	0.46838843241460343
Zfp120	985.6270800764851	0.03376912083613885	0.03813716496202228	0.16804287748843919	0.46838843241460343
Med12l	76.67131304933959	0.028975879327767247	0.0774694878997	0.16814236975123403	0.46838843241460343
Gnat2	54.8080250014597	-0.02882730902602593	0.07801598425551323	0.16809742523470167	0.46838843241460343
Rbm48	447.8784893354831	-0.03350169149245686	0.0463616086306305	0.16822029664732732	0.46838843241460343
